"company_name","credit","seasearcher_id","country","country_code"
"W MARINE INC","200000","270846","Greece","GRC"
"West African Marine SA","115000","482925","Greece","GRC"
"World Oil Trade Inc","725000","289917","Greece","GRC"
"All Profit Ship Magement Co Ltd","83000","","Hong Kong, S.A.R., China","HKG"
"Associated Maritime Co (HK) Ltd","350000","","Hong Kong, S.A.R., China","HKG"
"Ausca Shipping HK Limited","200000","","Hong Kong, S.A.R., China","HKG"
"Bao-Trans Enterprises Limited","3000000","","Hong Kong, S.A.R., China","HKG"
"BDH QUADRO MARINE LIMITED","300000","539663","Hong Kong, S.A.R., China","HKG"
"Beibu Gulf Holding (Hong Kong)","1200000","","Hong Kong, S.A.R., China","HKG"
"CA SHIPPING PTE. LIMITED","500000","561572","Hong Kong, S.A.R., China","HKG"
"Capital World Maritime Ltd.","600000","","Hong Kong, S.A.R., China","HKG"
"Chellaram Shipping (Hong Kong) Ltd","400000","","Hong Kong, S.A.R., China","HKG"
"Chimbusco Pan Nation Petro-Chemical Co.. Ltd.","1000000","270710","Hong Kong, S.A.R., China","HKG"
"Conti GMT Shipping Ltd","3000000","281449","Hong Kong, S.A.R., China","HKG"
"DHL PROJECT & CHARTERING","4000000","286347","Hong Kong, S.A.R., China","HKG"
"Dream Cruises Management Limited","800000","522274","Hong Kong, S.A.R., China","HKG"
"EGS (ASIA) LIMITED","200000","226857","Hong Kong, S.A.R., China","HKG"
"EXXON MOBIL CORPORATION","3000000","4468","Hong Kong, S.A.R., China","HKG"
"Exxon Mobil Corporation","13000000","4468","Hong Kong, S.A.R., China","HKG"
"FRatelli Cosulich Bunkers (Hong","1000000","302668","Hong Kong, S.A.R., China","HKG"
"Guodian Shipping (Hong Kong) Company Limited","950000","259126","Hong Kong, S.A.R., China","HKG"
"HONG KONG GOODWILL","200000","","Hong Kong, S.A.R., China","HKG"
"Hong Kong Ming Wah Shipping Co. Ltd","2000000","6533","Hong Kong, S.A.R., China","HKG"
"Huayang (Hong Kong) Shipping","500000","497175","Hong Kong, S.A.R., China","HKG"
"Interex Megaline Co Ltd","1500000","","Hong Kong, S.A.R., China","HKG"
"JIARONG MARINE (HK) CO LTD","150000","278364","Hong Kong, S.A.R., China","HKG"
"Kunlun Trading Co. Limited","2800000","505146","Hong Kong, S.A.R., China","HKG"
"New Sailing Shipping (HK) Limited","240000","444425","Hong Kong, S.A.R., China","HKG"
"NOVA PETROLEUM (HK) LTD","200000","","Hong Kong, S.A.R., China","HKG"
"Ocean Base Shipping (Hong Kong) Limited","2000000","","Hong Kong, S.A.R., China","HKG"
"Oceanways Shipping Limited","2850000","","Hong Kong, S.A.R., China","HKG"
"Pacific Basin Chartering Limited","2500000","285815","Hong Kong, S.A.R., China","HKG"
"Pacific Basin Shipping (Hk)Ltd","1000000","111309","Hong Kong, S.A.R., China","HKG"
"Perfect Bulk Limited","1000000","559429","Hong Kong, S.A.R., China","HKG"
"Pioneer Holdings Ltd","300000","527482","Hong Kong, S.A.R., China","HKG"
"PT Indofuels Limited","300000","496648","Hong Kong, S.A.R., China","HKG"
"Reachy International (HK) Co Ltd","300000","","Hong Kong, S.A.R., China","HKG"
"RIZHAO PORT (HONG KONG)","500000","290988","Hong Kong, S.A.R., China","HKG"
"SEA TRADER INTERNATIONAL","500000","55617","Hong Kong, S.A.R., China","HKG"
"Seacon Shipping Co Ltd","800000","194978","Hong Kong, S.A.R., China","HKG"
"Seatrans Solution Limited","300000","546644","Hong Kong, S.A.R., China","HKG"
"STAR CRUISES (HK) LTD","400000","","Hong Kong, S.A.R., China","HKG"
"U-Ming Marine Transport HK","500000","","Hong Kong, S.A.R., China","HKG"
"VQSV Shipping Limited c/o Axion Energy Corporation","300000","","Hong Kong, S.A.R., China","HKG"
"Wisco Shipping Co Ltd","1000000","281546","Hong Kong, S.A.R., China","HKG"
"Yangtze Navigation (Hong Kong) Co Ltd","500000","","Hong Kong, S.A.R., China","HKG"
"Zeno Shipping Management Co. Limited","0","515785","Hong Kong, S.A.R., China","HKG"
"Eimskipafelag Islands Ehf","7500000","","Iceland","ISL"
"Festi HF","2500000","","Iceland","ISL"
"Oliuverslun Islands HF Iceland Oil","2500000","","Iceland","ISL"
"Samherji Hf","3000000","","Iceland","ISL"
"SAMSKIP HF","3000000","","Iceland","ISL"
"Skeljungur HF","3000000","55808","Iceland","ISL"
"Aban Offshore Limited","700000","159996","India","IND"
"Best Oasis Limited","200000","468459","India","IND"
"Global Offshore Services BV","325000","5941","India","IND"
"Hindustan Petroleum Corp Ltd.","1500000","55228","India","IND"
"Indian Oil Corporation Ltd","1000000","55230","India","IND"
"LMCS Maritime Pvt Ltd","500000","","India","IND"
"Mohan Mutra Exports","200000","","India","IND"
"Reliance Industries Ltd","5000000","38538","India","IND"
"S S Offshore Private Limited","150000","427604","India","IND"
"Shreyas Shipping and Logistics","400000","","India","IND"
"SURYA EXIM LIMITED","300000","646675","India","IND"
